100 196
e 1 30
e 1 56
e 1 77
e 1 96
e 2 5
e 2 14
e 2 31
e 2 32
e 2 42
e 2 46
e 2 70
e 3 8
e 3 40
e 4 37
e 4 93
e 4 100
e 5 60
e 5 67
e 6 9
e 7 12
e 7 16
e 7 59
e 8 23
e 8 27
e 8 32
e 8 85
e 8 97
e 9 70
e 10 12
e 10 43
e 10 90
e 10 94
e 11 26
e 11 46
e 11 55
e 11 69
e 12 16
e 12 44
e 12 92
e 12 93
e 12 94
e 12 99
e 13 44
e 13 81
e 14 24
e 14 50
e 14 60
e 14 70
e 14 98
e 15 45
e 15 52
e 15 54
e 15 57
e 15 61
e 15 63
e 16 80
e 17 24
e 17 74
e 17 83
e 18 25
e 18 42
e 18 46
e 18 54
e 18 66
e 18 70
e 18 75
e 18 96
e 20 32
e 20 45
e 20 57
e 21 37
e 21 49
e 21 55
e 21 74
e 21 75
e 22 33
e 22 81
e 22 85
e 23 51
e 24 68
e 24 100
e 25 51
e 25 87
e 26 41
e 26 42
e 27 32
e 28 65
e 28 72
e 28 91
e 28 92
e 29 51
e 30 36
e 30 43
e 30 48
e 30 62
e 30 63
e 30 78
e 31 54
e 31 84
e 32 39
e 32 61
e 33 62
e 33 69
e 33 92
e 34 45
e 34 54
e 34 55
e 34 83
e 34 86
e 34 98
e 35 63
e 35 85
e 35 95
e 37 63
e 37 70
e 37 75
e 37 82
e 37 87
e 39 67
e 39 79
e 39 88
e 40 67
e 42 45
e 42 84
e 42 98
e 43 58
e 44 47
e 44 53
e 44 71
e 44 94
e 45 50
e 45 78
e 45 87
e 46 50
e 47 82
e 47 91
e 48 51
e 48 59
e 49 50
e 49 64
e 49 77
e 49 78
e 50 53
e 50 93
e 51 54
e 51 90
e 51 100
e 52 98
e 53 83
e 54 56
e 54 77
e 55 77
e 56 84
e 57 58
e 57 73
e 57 100
e 60 62
e 60 64
e 60 79
e 60 85
e 60 91
e 61 65
e 63 68
e 63 78
e 63 83
e 64 71
e 64 73
e 64 80
e 66 68
e 66 70
e 67 75
e 68 70
e 70 85
e 70 99
e 72 88
e 73 82
e 73 95
e 74 85
e 74 90
e 75 87
e 75 91
e 75 95
e 76 80
e 77 93
e 78 87
e 79 82
e 80 86
e 83 91
e 83 99
e 84 87
e 87 93
e 87 98
e 93 97
e 95 96
e 95 99
e 96 99
