100 206
e 1 14
e 1 22
e 1 23
e 1 61
e 1 83
e 1 92
e 1 98
e 2 4
e 2 6
e 2 67
e 3 29
e 3 60
e 3 94
e 4 15
e 4 37
e 4 47
e 4 58
e 4 77
e 5 10
e 5 49
e 5 65
e 5 81
e 6 28
e 6 42
e 6 45
e 6 58
e 6 64
e 6 86
e 7 21
e 7 29
e 7 46
e 7 89
e 8 15
e 8 18
e 9 16
e 9 23
e 9 42
e 9 62
e 9 85
e 9 97
e 10 19
e 10 54
e 10 87
e 11 91
e 12 21
e 12 28
e 12 38
e 12 40
e 12 41
e 12 49
e 12 92
e 12 96
e 13 14
e 13 27
e 13 34
e 13 51
e 13 80
e 14 55
e 14 78
e 14 80
e 14 85
e 15 52
e 16 37
e 16 76
e 16 83
e 16 94
e 17 19
e 17 48
e 17 59
e 17 95
e 18 39
e 18 49
e 18 61
e 18 77
e 19 36
e 19 65
e 19 80
e 19 96
e 20 78
e 21 64
e 21 66
e 22 62
e 22 70
e 23 25
e 23 27
e 23 39
e 23 53
e 24 29
e 24 32
e 24 48
e 24 79
e 24 97
e 25 26
e 25 40
e 26 38
e 26 46
e 26 78
e 27 60
e 27 93
e 27 97
e 28 61
e 28 74
e 29 30
e 29 38
e 29 73
e 29 74
e 30 50
e 31 36
e 32 50
e 32 55
e 32 71
e 33 38
e 33 41
e 33 42
e 33 63
e 33 68
e 33 97
e 35 39
e 35 84
e 36 47
e 36 62
e 36 81
e 37 43
e 37 65
e 39 57
e 39 79
e 39 96
e 40 87
e 41 43
e 41 81
e 42 91
e 43 48
e 43 54
e 43 59
e 43 90
e 44 48
e 44 73
e 44 82
e 45 47
e 45 78
e 45 97
e 46 58
e 46 61
e 46 86
e 46 89
e 48 97
e 49 62
e 49 79
e 49 83
e 51 53
e 51 73
e 52 69
e 52 99
e 53 86
e 54 59
e 54 85
e 54 100
e 55 64
e 55 93
e 55 95
e 56 65
e 56 75
e 56 92
e 57 93
e 58 90
e 60 71
e 60 80
e 62 66
e 62 81
e 62 84
e 63 66
e 65 71
e 65 89
e 65 95
e 69 77
e 69 80
e 69 97
e 70 71
e 70 91
e 70 100
e 71 79
e 72 80
e 73 92
e 74 78
e 74 82
e 75 76
e 75 80
e 75 81
e 75 99
e 76 80
e 76 90
e 78 90
e 79 86
e 81 84
e 82 84
e 84 91
e 84 95
e 85 87
e 86 97
e 87 90
e 88 89
e 88 99
e 89 93
e 89 98
e 91 99
e 93 100
