300 626
e 1 67
e 1 91
e 1 135
e 1 150
e 1 153
e 2 73
e 2 225
e 2 244
e 2 263
e 3 21
e 3 115
e 3 144
e 3 177
e 3 183
e 4 63
e 4 65
e 5 51
e 5 101
e 5 228
e 5 264
e 5 281
e 6 12
e 6 139
e 6 164
e 6 213
e 6 216
e 7 9
e 7 189
e 7 239
e 8 121
e 8 147
e 8 199
e 9 32
e 9 81
e 9 149
e 9 202
e 10 173
e 10 205
e 12 63
e 12 132
e 12 133
e 12 223
e 13 24
e 13 36
e 13 68
e 13 98
e 13 114
e 13 137
e 13 166
e 13 201
e 14 124
e 14 135
e 14 258
e 15 93
e 15 131
e 15 244
e 16 157
e 16 204
e 16 272
e 16 283
e 17 43
e 17 113
e 17 263
e 17 266
e 18 25
e 18 34
e 18 92
e 18 118
e 18 174
e 18 175
e 18 176
e 18 203
e 18 281
e 18 285
e 19 33
e 19 57
e 19 87
e 19 189
e 19 197
e 20 32
e 20 57
e 20 162
e 20 261
e 20 279
e 21 63
e 21 146
e 21 202
e 21 210
e 22 52
e 22 63
e 22 130
e 22 185
e 22 197
e 22 251
e 22 281
e 22 285
e 23 196
e 23 289
e 23 296
e 24 82
e 24 278
e 25 122
e 25 151
e 25 217
e 25 222
e 25 248
e 26 39
e 26 63
e 27 62
e 27 86
e 28 180
e 28 272
e 28 277
e 29 51
e 29 53
e 29 205
e 30 45
e 30 152
e 30 185
e 30 213
e 30 270
e 31 86
e 31 183
e 31 236
e 31 257
e 32 63
e 32 75
e 32 102
e 32 159
e 33 72
e 33 197
e 33 207
e 33 253
e 33 257
e 33 269
e 34 98
e 34 215
e 34 256
e 34 297
e 35 83
e 35 99
e 35 241
e 35 246
e 35 287
e 36 118
e 36 131
e 36 203
e 36 278
e 37 55
e 37 78
e 37 92
e 37 251
e 38 66
e 38 69
e 38 89
e 38 90
e 38 197
e 38 231
e 38 268
e 39 63
e 39 95
e 39 107
e 39 129
e 39 143
e 40 99
e 40 145
e 40 189
e 40 247
e 41 55
e 41 96
e 41 104
e 41 290
e 42 122
e 42 221
e 42 283
e 43 65
e 43 76
e 44 183
e 44 270
e 45 56
e 45 226
e 45 292
e 46 78
e 47 77
e 47 94
e 47 153
e 47 188
e 47 244
e 47 268
e 48 119
e 48 205
e 48 255
e 48 258
e 48 281
e 50 84
e 50 162
e 50 217
e 51 178
e 51 216
e 51 228
e 52 134
e 52 269
e 53 182
e 53 190
e 53 196
e 53 250
e 53 274
e 54 66
e 54 69
e 54 192
e 55 64
e 55 216
e 56 152
e 57 74
e 57 98
e 57 159
e 57 295
e 59 126
e 59 206
e 59 215
e 59 274
e 59 297
e 60 102
e 60 194
e 60 222
e 60 229
e 60 299
e 61 278
e 62 228
e 63 111
e 63 124
e 63 143
e 63 179
e 63 260
e 64 185
e 64 196
e 64 295
e 65 140
e 66 122
e 66 200
e 67 75
e 67 100
e 67 133
e 67 134
e 67 148
e 67 163
e 67 210
e 67 289
e 67 291
e 67 298
e 68 138
e 68 260
e 68 261
e 69 81
e 69 119
e 69 132
e 69 166
e 69 184
e 69 207
e 69 223
e 70 218
e 71 96
e 71 114
e 71 117
e 71 157
e 71 209
e 72 117
e 72 169
e 72 245
e 73 80
e 73 142
e 73 165
e 73 238
e 73 263
e 74 123
e 74 234
e 75 233
e 76 171
e 76 173
e 76 189
e 76 215
e 76 237
e 77 228
e 77 291
e 78 162
e 78 293
e 79 111
e 79 197
e 79 221
e 79 222
e 79 223
e 79 278
e 79 290
e 80 206
e 80 267
e 81 93
e 81 107
e 81 124
e 81 225
e 82 122
