600 1200
e 1 2 
e 1 600 
e 1 3 
e 1 599 
e 1 67 
e 2 3 
e 2 4 
e 2 83 
e 3 4 
e 3 5 
e 4 5 
e 4 6 
e 5 6 
e 5 7 
e 5 175 
e 6 8 
e 6 500 
e 7 8 
e 7 9 
e 8 10 
e 8 221 
e 8 293 
e 9 11 
e 9 164 
e 10 11 
e 10 12 
e 10 218 
e 11 12 
e 11 13 
e 12 13 
e 12 30 
e 13 14 
e 13 15 
e 14 15 
e 14 16 
e 15 16 
e 15 195 
e 16 17 
e 16 592 
e 17 18 
e 17 19 
e 18 19 
e 18 20 
e 18 333 
e 18 408 
e 19 20 
e 19 21 
e 19 151 
e 19 342 
e 19 31 
e 20 21 
e 20 22 
e 20 157 
e 21 22 
e 21 23 
e 22 23 
e 22 24 
e 22 541 
e 23 25 
e 23 593 
e 23 108 
e 24 25 
e 24 26 
e 25 26 
e 25 27 
e 26 27 
e 26 490 
e 26 168 
e 27 29 
e 27 380 
e 28 29 
e 28 309 
e 29 30 
e 29 31 
e 30 31 
e 30 32 
e 30 580 
e 31 32 
e 32 33 
e 32 34 
e 32 308 
e 33 35 
e 33 74 
e 34 35 
e 34 36 
e 34 373 
e 35 36 
e 35 37 
e 36 37 
e 36 38 
e 37 38 
e 37 39 
e 37 149 
e 38 39 
e 38 40 
e 39 40 
e 39 41 
e 40 41 
e 40 42 
e 40 592 
e 41 42 
e 41 43 
e 42 365 
e 42 563 
e 43 44 
e 43 319 
e 44 244 
e 44 201 
e 45 47 
e 45 544 
e 46 47 
e 46 48 
e 47 48 
e 47 49 
e 48 50 
e 48 385 
e 49 50 
e 49 313 
e 50 51 
e 50 52 
e 51 52 
e 51 53 
e 52 53 
e 52 54 
e 53 54 
e 53 496 
e 53 196 
e 54 56 
e 54 286 
e 55 56 
e 55 57 
e 56 57 
e 56 129 
e 57 59 
e 57 465 
e 57 241 
e 58 59 
e 58 60 
e 59 60 
e 59 61 
e 60 62 
e 60 578 
e 61 62 
e 61 508 
e 61 518 
e 62 63 
e 62 64 
e 62 158 
e 62 465 
e 63 64 
e 63 65 
e 64 173 
e 64 94 
e 65 66 
e 65 526 
e 66 67 
e 66 492 
e 67 68 
e 67 464 
e 68 69 
e 68 271 
e 68 444 
e 69 71 
e 69 297 
e 69 423 
e 70 71 
e 70 72 
e 71 73 
e 71 96 
e 72 73 
e 72 74 
e 73 74 
e 73 75 
e 73 220 
e 74 75 
e 74 76 
e 75 77 
e 75 316 
e 75 340 
e 75 359 
e 76 77 
e 76 78 
e 76 87 
e 77 78 
e 77 79 
e 78 79 
e 78 419 
e 79 80 
e 79 81 
e 80 81 
e 80 564 
e 80 174 
e 80 415 
e 80 553 
e 81 82 
e 81 83 
e 82 83 
e 82 84 
e 83 184 
e 84 85 
e 84 86 
e 85 86 
e 85 87 
e 86 87 
e 86 88 
e 87 89 
e 88 89 
e 88 90 
e 88 407 
e 89 90 
e 89 91 
e 90 91 
e 90 92 
e 91 92 
e 91 93 
e 91 250 
e 91 486 
e 92 93 
e 92 94 
e 93 94 
e 93 96 
e 93 143 
e 94 95 
e 94 213 
e 94 301 
e 95 96 
e 95 97 
e 95 303 
e 96 98 
e 97 98 
e 97 99 
e 97 448 
e 98 99 
e 98 100 
e 99 100 
e 99 101 
e 99 437 
e 100 101 
e 100 102 
e 100 327 
e 101 102 
e 101 103 
e 102 103 
e 102 104 
e 103 104 
e 103 105 
e 104 105 
e 104 106 
e 105 106 
e 105 107 
e 106 108 
e 106 334 
e 106 531 
e 107 108 
e 107 109 
e 107 364 
e 107 572 
e 108 109 
e 109 110 
e 109 111 
e 110 112 
e 110 205 
e 111 112 
e 111 113 
e 112 114 
e 112 159 
e 113 114 
e 113 115 
e 113 600 
e 114 115 
e 114 116 
e 114 363 
e 115 116 
e 115 117 
e 116 117 
e 116 118 
e 117 119 
e 117 157 
e 118 119 
e 118 564 
e 119 120 
e 119 121 
e 120 121 
e 120 122 
e 120 423 
e 121 122 
e 121 386 
e 121 557 
e 122 124 
e 122 288 
e 123 124 
e 123 125 
e 124 125 
e 124 126 
e 125 126 
e 125 127 
e 125 460 
e 126 127 
e 126 128 
e 127 128 
e 127 129 
e 128 129 
e 128 130 
e 128 314 
e 129 130 
e 129 131 
e 130 131 
e 130 425 
e 130 234 
e 131 132 
e 131 237 
e 132 133 
e 132 437 
e 133 134 
e 133 135 
e 134 135 
e 134 136 
e 135 136 
e 135 137 
e 135 543 
e 136 137 
e 136 138 
e 136 254 
e 137 139 
e 137 530 
e 138 139 
e 138 171 
e 139 140 
e 139 141 
e 139 440 
e 140 141 
e 140 142 
e 141 142 
e 141 143 
e 142 143 
e 142 144 
e 143 144 
e 143 145 
e 143 486 
e 144 145 
e 144 146 
e 145 147 
e 145 368 
e 146 147 
e 146 148 
e 147 148 
e 147 149 
e 148 150 
e 148 166 
e 149 150 
