300 467
e 1 26
e 1 47
e 1 71
e 1 115
e 2 168
e 2 257
e 3 59
e 3 114
e 3 240
e 4 30
e 4 59
e 4 253
e 4 269
e 5 83
e 5 94
e 5 142
e 5 151
e 5 165
e 5 187
e 6 134
e 6 192
e 6 225
e 7 24
e 7 177
e 7 207
e 7 287
e 8 17
e 8 65
e 8 94
e 8 284
e 9 11
e 9 38
e 9 100
e 9 164
e 9 262
e 10 13
e 10 265
e 10 273
e 11 25
e 11 162
e 11 210
e 11 275
e 11 281
e 12 171
e 12 239
e 15 26
e 15 49
e 15 95
e 15 130
e 15 179
e 15 256
e 16 26
e 16 33
e 16 36
e 16 89
e 16 167
e 16 199
e 16 284
e 17 181
e 17 194
e 17 208
e 18 127
e 18 209
e 19 282
e 20 90
e 20 192
e 20 205
e 20 213
e 20 235
e 20 247
e 20 293
e 20 294
e 21 48
e 21 102
e 21 127
e 22 138
e 22 171
e 22 232
e 23 160
e 23 207
e 23 242
e 24 31
e 24 111
e 25 132
e 25 224
e 25 278
e 27 53
e 27 262
e 28 82
e 28 120
e 29 76
e 29 108
e 29 210
e 30 238
e 30 288
e 31 190
e 32 94
e 33 50
e 33 62
e 33 91
e 33 95
e 33 223
e 33 233
e 34 97
e 34 194
e 34 226
e 34 262
e 35 55
e 35 73
e 35 197
e 35 263
e 36 266
e 38 126
e 39 159
e 39 186
e 39 200
e 39 261
e 39 277
e 39 278
e 41 67
e 41 156
e 42 92
e 42 162
e 43 73
e 43 98
e 43 123
e 43 178
e 43 204
e 44 63
e 44 114
e 44 139
e 44 246
e 44 258
e 45 262
e 45 274
e 46 241
e 46 266
e 46 276
e 47 81
e 47 117
e 47 200
e 47 264
e 47 276
e 48 268
e 49 163
e 49 270
e 50 224
e 50 233
e 50 284
e 51 229
e 51 254
e 52 62
e 52 139
e 53 58
e 53 183
e 53 290
e 54 148
e 54 180
e 54 289
e 55 224
e 56 156
e 57 185
e 57 194
e 57 276
e 58 247
e 58 257
e 58 284
e 59 193
e 59 281
e 60 84
e 61 145
e 61 183
e 61 209
e 61 217
e 62 159
e 62 300
e 63 152
e 64 89
e 64 140
e 65 179
e 66 91
e 66 119
e 66 156
e 66 180
e 66 208
e 67 225
e 68 186
e 69 139
e 69 209
e 69 275
e 70 205
e 70 225
e 70 239
e 71 258
e 71 285
e 72 79
e 73 128
e 73 147
e 73 251
e 74 147
e 74 158
e 74 251
e 74 279
e 75 125
e 75 189
e 75 208
e 75 212
e 76 209
e 76 225
e 77 202
e 78 262
e 78 291
e 78 297
e 79 254
e 79 274
e 80 186
e 81 167
e 81 225
e 81 295
e 82 157
e 82 200
e 82 295
e 83 109
e 84 171
e 84 218
e 84 239
e 84 244
e 84 255
